groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
CI+IE,200,CI+MK+ER+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,MK+ER,200,0.9999,0.9999,False,n.s.
CI+IE,200,MK+ER+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,ER+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,no,200,0.00019999999999997797,0.0024,True,**
CI+IE,200,CI+MK,200,0.9999,0.9999,False,n.s.
CI+IE,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
CI+IE,200,IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,CI,200,0.9999,0.9999,False,n.s.
CI+IE,200,ER,200,0.9999,0.9999,False,n.s.
CI+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,MK,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,MK+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,MK+ER+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,ER+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,no,200,0.00029999999999996696,0.0024,True,**
CI+MK+ER+IE,200,CI+MK,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,MK,200,0.9999,0.9999,False,n.s.
MK+ER,200,MK+ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,no,200,0.00029999999999996696,0.0024,True,**
MK+ER,200,CI+MK,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
MK+ER,200,IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,MK+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI,200,0.9999,0.9999,False,n.s.
MK+ER,200,ER,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI+ER,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,MK,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,no,200,0.00029999999999996696,0.0024,True,**
MK+ER+IE,200,CI+MK,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,MK,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,no,200,0.00019999999999997797,0.0024,True,**
ER+IE,200,CI+MK,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,MK,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,no,200,0.00029999999999996696,0.0024,True,**
CI+ER+IE,200,CI+MK,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,MK,200,0.9999,0.9999,False,n.s.
no,200,CI+MK,200,0.0002,0.0024,True,**
no,200,CI+MK+ER,200,0.0001,0.0024,True,**
no,200,IE,200,0.0002,0.0024,True,**
no,200,MK+IE,200,0.0002,0.0024,True,**
no,200,CI,200,0.0003,0.0024,True,**
no,200,ER,200,0.0002,0.0024,True,**
no,200,CI+ER,200,0.0002,0.0024,True,**
no,200,CI+MK+IE,200,0.0002,0.0024,True,**
no,200,MK,200,0.0001,0.0024,True,**
CI+MK,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
CI+MK,200,IE,200,0.9999,0.9999,False,n.s.
CI+MK,200,MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK,200,CI,200,0.9999,0.9999,False,n.s.
CI+MK,200,ER,200,0.9999,0.9999,False,n.s.
CI+MK,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+MK,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK,200,MK,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,CI,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,MK,200,0.9999,0.9999,False,n.s.
IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
IE,200,CI,200,0.9999,0.9999,False,n.s.
IE,200,ER,200,0.9999,0.9999,False,n.s.
IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
IE,200,MK,200,0.9999,0.9999,False,n.s.
MK+IE,200,CI,200,0.9999,0.9999,False,n.s.
MK+IE,200,ER,200,0.9999,0.9999,False,n.s.
MK+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
MK+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
MK+IE,200,MK,200,0.9999,0.9999,False,n.s.
CI,200,ER,200,0.9999,0.9999,False,n.s.
CI,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI,200,MK,200,0.9999,0.9999,False,n.s.
ER,200,CI+ER,200,0.9999,0.9999,False,n.s.
ER,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
ER,200,MK,200,0.9999,0.9999,False,n.s.
CI+ER,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+ER,200,MK,200,0.9999,0.9999,False,n.s.
CI+MK+IE,200,MK,200,0.9999,0.9999,False,n.s.
